Store ID,Date,Product ID,Units Sold,Sales Revenue,Discount ID,Store Location,Product Category ID,Day of the Week,Holiday Effect
Spearsland,1/1/2022,52372247,9,,,Tanzania,Furniture,Saturday,FALSE
Spearsland,1/2/2022,52372247,7,,,Mauritania,Furniture,Sunday,FALSE
Spearsland,1/3/2022,52372247,1,,,Saint Pierre and Miquelon,Furniture,Monday,FALSE
Spearsland,1/4/2022,52372247,4,,,Australia,Furniture,Tuesday,FALSE
Spearsland,1/5/2022,52372247,2,,,Swaziland,Furniture,Wednesday,FALSE
Spearsland,1/6/2022,52372247,8,,,Bhutan,Furniture,Thursday,FALSE
Spearsland,1/7/2022,52372247,6,,,Suriname,Furniture,Friday,FALSE
Spearsland,1/8/2022,52372247,9,,,Taiwan,Furniture,Saturday,FALSE
Spearsland,1/9/2022,52372247,7,,,Papua New Guinea,Furniture,Sunday,FALSE
Spearsland,1/10/2022,52372247,1,,,Canada,Furniture,Monday,FALSE
Spearsland,1/11/2022,52372247,4,,,Vietnam,Furniture,Tuesday,FALSE
Spearsland,1/12/2022,52372247,6,,,Cocos (Keeling) Islands,Furniture,Wednesday,FALSE
Spearsland,1/13/2022,52372247,3,,,Lebanon,Furniture,Thursday,FALSE
Spearsland,1/14/2022,52372247,6,,,Luxembourg,Furniture,Friday,FALSE
Spearsland,1/15/2022,52372247,3,,,French Guiana,Furniture,Saturday,FALSE
Spearsland,1/16/2022,52372247,2,,,Paraguay,Furniture,Sunday,FALSE
Spearsland,1/17/2022,52372247,8,,,Nauru,Furniture,Monday,FALSE
Spearsland,1/18/2022,52372247,6,,,Italy,Furniture,Tuesday,FALSE
Spearsland,1/19/2022,52372247,13,,,Saint Helena,Furniture,Wednesday,FALSE
Spearsland,1/20/2022,52372247,5,,,Portugal,Furniture,Thursday,FALSE
Spearsland,1/21/2022,52372247,3,,,French Southern Territories,Furniture,Friday,FALSE
Spearsland,1/22/2022,52372247,9,,,Colombia,Furniture,Saturday,FALSE
Spearsland,1/23/2022,52372247,5,,,Switzerland,Furniture,Sunday,FALSE
Spearsland,1/24/2022,52372247,4,,,Mali,Furniture,Monday,FALSE
Spearsland,1/25/2022,52372247,4,,,Reunion,Furniture,Tuesday,FALSE
Spearsland,1/26/2022,52372247,12,,,Romania,Furniture,Wednesday,FALSE
Spearsland,1/27/2022,52372247,6,,,Dominican Republic,Furniture,Thursday,FALSE
Spearsland,1/28/2022,52372247,5,,,Switzerland,Furniture,Friday,FALSE
Spearsland,1/29/2022,52372247,7,,,Sweden,Furniture,Saturday,FALSE
