Store ID,Date,Product ID,Units Sold,Sales Revenue,Discount,Store Location,Category ID,Day of the Week,Holiday Effect
Spearsland,1/1/2022,8472391,9,2250,20,Tanzania,1,Saturday,FALSE
Spearsland,1/2/2022,8472391,7,1750,20,Mauritania,1,Sunday,FALSE
Spearsland,1/3/2022,8472391,1,250,20,Saint Pierre and Miquelon,1,Monday,FALSE
Spearsland,1/4/2022,8472391,4,1000,20,Australia,1,Tuesday,FALSE
Spearsland,1/5/2022,8472391,2,500,20,Swaziland,1,Wednesday,FALSE
Spearsland,1/6/2022,8472391,8,2000,20,Bhutan,1,Thursday,FALSE
Spearsland,1/7/2022,8472391,6,1500,20,Suriname,1,Friday,FALSE
Spearsland,1/8/2022,8472391,9,2250,20,Taiwan,1,Saturday,FALSE
Spearsland,1/9/2022,8472391,7,1750,20,Papua New Guinea,1,Sunday,FALSE
Spearsland,1/10/2022,8472391,1,250,20,Canada,1,Monday,FALSE
Spearsland,1/11/2022,8472391,4,1000,20,Vietnam,1,Tuesday,FALSE
Spearsland,1/12/2022,8472391,6,1500,20,Cocos  Islands,1,Wednesday,FALSE
Spearsland,1/13/2022,8472391,3,750,20,Lebanon,1,Thursday,FALSE
Spearsland,1/14/2022,8472391,6,1500,20,Luxembourg,1,Friday,FALSE
Spearsland,1/15/2022,8472391,3,750,20,French Guiana,1,Saturday,FALSE
Spearsland,1/16/2022,8472391,2,500,20,Paraguay,1,Sunday,FALSE
Spearsland,1/17/2022,8472391,8,2000,20,Nauru,1,Monday,FALSE
Spearsland,1/18/2022,8472391,6,1500,20,Italy,1,Tuesday,FALSE
Spearsland,1/19/2022,8472391,13,3250,20,Saint Helena,1,Wednesday,FALSE
Spearsland,1/20/2022,8472391,5,1250,20,Portugal,1,Thursday,FALSE
Spearsland,1/21/2022,8472391,3,750,20,French Southern Territories,1,Friday,FALSE
Spearsland,1/22/2022,8472391,9,2250,20,Colombia,1,Saturday,FALSE
Spearsland,1/23/2022,8472391,5,1250,20,Switzerland,1,Sunday,FALSE
Spearsland,1/24/2022,8472391,4,1000,20,Mali,1,Monday,FALSE
Spearsland,1/25/2022,8472391,4,1000,20,Reunion,1,Tuesday,FALSE
Spearsland,1/26/2022,8472391,12,3000,20,Romania,1,Wednesday,FALSE
Spearsland,1/27/2022,8472391,6,1500,20,Dominican Republic,1,Thursday,FALSE
Spearsland,1/28/2022,8472391,5,1250,20,Switzerland,1,Friday,FALSE
Spearsland,1/29/2022,8472391,7,1750,20,Sweden,1,Saturday,FALSE
Spearsland,1/30/2022,8472391,5,1250,20,Kiribati,1,Sunday,FALSE
Spearsland,1/31/2022,8472391,1,250,20,Antigua and Barbuda,1,Monday,FALSE
Spearsland,2/1/2022,8472391,4,1000,20,Czech Republic,1,Tuesday,FALSE
Spearsland,2/2/2022,8472391,7,1750,20,Mauritius,1,Wednesday,FALSE
Spearsland,2/3/2022,8472391,1,250,20,Congo,1,Thursday,FALSE
Spearsland,2/4/2022,8472391,5,1250,20,Bouvet Island ,1,Friday,FALSE
Spearsland,2/5/2022,8472391,3,750,20,Hong Kong,1,Saturday,FALSE
Spearsland,2/6/2022,8472391,13,3250,20,Hong Kong,1,Sunday,FALSE
Spearsland,2/7/2022,8472391,5,1250,20,Slovenia,1,Monday,FALSE
Spearsland,2/8/2022,8472391,5,1250,20,Antarctica ,1,Tuesday,FALSE
Spearsland,2/9/2022,8472391,3,750,20,Trinidad and Tobago,1,Wednesday,FALSE
Spearsland,2/10/2022,8472391,5,1250,20,Oman,1,Thursday,FALSE
Spearsland,2/11/2022,8472391,5,1250,20,Lithuania,1,Friday,FALSE
Spearsland,2/12/2022,8472391,2,500,20,Tokelau,1,Saturday,FALSE
Spearsland,2/13/2022,8472391,6,1500,20,Northern Mariana Islands,1,Sunday,FALSE
Spearsland,2/14/2022,8472391,7,1750,20,Antigua and Barbuda,1,Monday,FALSE
Spearsland,2/15/2022,8472391,11,2750,20,Sierra Leone,1,Tuesday,FALSE
Spearsland,2/16/2022,8472391,7,1750,20,Libyan Arab Jamahiriya,1,Wednesday,FALSE
Spearsland,2/17/2022,8472391,4,1000,20,Cocos  Islands,1,Thursday,FALSE
Spearsland,2/18/2022,8472391,6,1500,20,Jersey,1,Friday,FALSE
Spearsland,2/19/2022,8472391,5,1250,20,Saudi Arabia,1,Saturday,FALSE
Spearsland,2/20/2022,8472391,3,750,20,United States of America,1,Sunday,FALSE
Spearsland,2/21/2022,8472391,3,750,20,Germany,1,Monday,FALSE
Spearsland,2/22/2022,8472391,5,1250,20,Sierra Leone,1,Tuesday,FALSE
Spearsland,2/23/2022,8472391,2,500,20,Nauru,1,Wednesday,FALSE
